filename,Anth,Bio,Geo,Sil
0000-01042016_223.wav,0,0,0,1
0000-03052016_312.wav,0,0,0,1
0000-04052016_23.wav,0,0,0,1
0000-04052016_230.wav,0,0,0,1
0000-04052016_232.wav,0,0,0,1
0000-04052016_233.wav,1,0,0,0
0000-04052016_234.wav,0,0,0,1
0000-04052016_235.wav,0,0,0,1
0000-04052016_237.wav,0,1,0,0
0000-04052016_239.wav,0,0,0,1
0000-04072016_212.wav,0,0,0,1
0000-04072016_61.wav,0,0,0,1
0000-05072016_4.wav,0,0,1,0
0000-07062016_41.wav,1,0,0,0
0000-09052016_15.wav,0,0,1,0
0000-09052016_152.wav,0,0,0,1
0000-09052016_154.wav,0,0,0,1
0000-09052016_155.wav,1,0,0,0
0000-09052016_158.wav,0,1,0,0
0000-13052016_129.wav,1,0,0,0
0000-17062016_86.wav,0,0,1,0
0000-17072016_117.wav,0,0,1,0
0000-19072016_45.wav,0,1,0,0
0000-20062016_209.wav,0,0,0,1
0000-22072016_31.wav,0,0,0,1
0000-22072016_310.wav,0,0,0,1
0000-22072016_311.wav,0,0,0,1
0000-22072016_312.wav,0,0,0,1
0000-22072016_313.wav,0,0,0,1
0000-22072016_314.wav,0,0,0,1
0000-22072016_315.wav,0,0,0,1
0000-22072016_316.wav,0,0,0,1
0000-22072016_317.wav,0,0,0,1
0000-22072016_318.wav,0,0,0,1
0000-22072016_319.wav,0,0,0,1
0000-24062016_199.wav,0,0,0,1
0000-27062016_88.wav,0,0,0,1
0000-28062016_287.wav,0,0,1,0
0000-30042016_47.wav,0,0,1,0
0010-05072016_116.wav,0,1,0,0
0010-06052016_135.wav,1,0,0,0
0010-06052016_280.wav,0,0,0,1
0010-07042016_230.wav,0,0,1,0
0010-08062016_311.wav,0,0,0,1
0010-09062016_147.wav,0,0,0,1
0010-10052016_216.wav,0,0,0,1
0010-12062016_274.wav,0,0,0,1
0010-12072016_326.wav,0,0,0,1
0010-14062016_208.wav,0,0,0,1
0010-15072016_217.wav,0,0,1,0
0010-15072016_54.wav,0,0,1,0
0010-17062016_149.wav,0,0,1,0
0010-20032016_239.wav,0,0,0,1
0010-20062016_118.wav,0,0,0,1
0010-20072016_41.wav,0,1,0,0
0010-20072016_58.wav,0,1,0,0
0010-21072016_23.wav,0,1,0,0
0010-21072016_230.wav,0,1,0,0
0010-21072016_231.wav,1,0,0,0
0010-21072016_232.wav,0,1,0,0
0010-21072016_233.wav,0,1,0,0
0010-21072016_234.wav,0,0,0,1
0010-21072016_235.wav,0,0,0,1
0010-21072016_236.wav,0,1,0,0
0010-21072016_239.wav,0,0,0,1
0010-22032016_113.wav,0,0,1,0
0010-23062016_223.wav,1,0,0,0
0010-24062016_250.wav,0,0,0,1
0010-24062016_251.wav,0,1,0,0
0010-24062016_252.wav,0,0,0,1
0010-24062016_255.wav,1,0,0,0
0010-24062016_256.wav,0,0,0,1
0010-24062016_257.wav,0,0,0,1
0010-24062016_258.wav,0,0,0,1
0010-24062016_259.wav,1,0,0,0
0010-27072016_325.wav,0,0,0,1
0010-31072016_40.wav,0,1,0,0
0020-02052016_232.wav,0,0,0,1
0020-04052016_214.wav,0,0,0,1
0020-05032016_232.wav,0,0,0,1
0020-06072016_142.wav,0,1,0,0
0020-07062016_15.wav,0,0,0,1
0020-07062016_153.wav,1,0,0,0
0020-07062016_154.wav,0,0,0,1
0020-07062016_155.wav,1,0,0,0
0020-07062016_158.wav,0,1,0,0
0020-07062016_281.wav,0,0,0,1
0020-09042016_235.wav,0,0,0,1
0020-11052016_8.wav,0,0,0,1
0020-11052016_82.wav,1,0,0,0
0020-11052016_83.wav,0,0,0,1
0020-11052016_84.wav,0,0,0,1
0020-11052016_85.wav,0,0,1,0
0020-11052016_86.wav,0,0,1,0
0020-11052016_87.wav,0,0,0,1
0020-11052016_88.wav,0,0,0,1
0020-12032016_86.wav,0,0,0,1
0020-16042016_261.wav,0,0,0,1
0020-16072016_42.wav,1,0,0,0
0020-18052016_230.wav,0,0,0,1
0020-19072016_209.wav,0,1,0,0
0020-20072016_229.wav,0,0,0,1
0020-21042016_212.wav,0,0,0,1
0020-21062016_277.wav,0,0,1,0
0020-23042016_149.wav,0,0,0,1
0020-23052016_3.wav,0,0,0,1
0020-23052016_30.wav,0,0,0,1
0020-23052016_301.wav,0,0,0,1
0020-23052016_303.wav,0,0,0,1
0020-23052016_304.wav,0,0,0,1
0020-23052016_305.wav,0,0,0,1
0020-23052016_306.wav,0,0,1,0
0020-23052016_307.wav,0,0,0,1
0020-23052016_308.wav,0,0,0,1
0020-23052016_309.wav,0,0,0,1
0020-23052016_31.wav,0,0,0,1
0020-23052016_310.wav,0,0,0,1
0020-23052016_311.wav,0,0,1,0
0020-23052016_312.wav,0,0,0,1
0020-23052016_313.wav,0,0,0,1
0020-23052016_315.wav,0,0,1,0
0020-23052016_316.wav,0,0,0,1
0020-23052016_317.wav,0,0,1,0
0020-23052016_318.wav,0,0,0,1
0020-23052016_319.wav,0,0,0,1
0020-23052016_320.wav,0,0,0,1
0020-23052016_321.wav,0,0,1,0
0020-23052016_322.wav,0,0,0,1
0020-23052016_323.wav,0,0,0,1
0020-23052016_324.wav,0,0,1,0
0020-23052016_325.wav,0,0,1,0
0020-23052016_326.wav,0,0,1,0
0020-23052016_327.wav,0,0,1,0
0020-23052016_328.wav,0,0,0,1
0020-23052016_329.wav,1,0,1,0
0020-23052016_33.wav,0,0,1,0
0020-23052016_330.wav,0,1,0,0
0020-23052016_331.wav,0,1,0,0
0020-23052016_37.wav,0,0,0,1
0020-23052016_38.wav,0,0,0,1
0020-23052016_39.wav,0,0,1,0
0020-23072016_208.wav,0,0,0,1
0020-25042016_140.wav,0,0,0,1
0020-28042016_31.wav,0,0,0,1
0020-28042016_310.wav,0,0,0,1
0020-28042016_311.wav,0,0,0,1
0020-28042016_312.wav,0,0,0,1
0020-28042016_313.wav,0,0,0,1
0020-28042016_315.wav,0,0,0,1
